[PAD]
[unused0]
[unused1]
[unused2]
[unused3]
[unused4]
[unused5]
[unused6]
[unused7]
[unused8]
[unused9]
[unused10]
[unused11]
[unused12]
[unused13]
[unused14]
[unused15]
[unused16]
[unused17]
[unused18]
[unused19]
[unused20]
[unused21]
[unused22]
[unused23]
[unused24]
[unused25]
[unused26]
[unused27]
[unused28]
[unused29]
[unused30]
[unused31]
[unused32]
[unused33]
[unused34]
[unused35]
[unused36]
[unused37]
[unused38]
[unused39]
[unused40]
[unused41]
[unused42]
[unused43]
[unused44]
[unused45]
[unused46]
[unused47]
[unused48]
[unused49]
[unused50]
[unused51]
[unused52]
[unused53]
[unused54]
[unused55]
[unused56]
[unused57]
[unused58]
[unused59]
[unused60]
[unused61]
[unused62]
[unused63]
[unused64]
[unused65]
[unused66]
[unused67]
[unused68]
[unused69]
[unused70]
[unused71]
[unused72]
[unused73]
[unused74]
[unused75]
[unused76]
[unused77]
[unused78]
[unused79]
[unused80]
[unused81]
[unused82]
[unused83]
[unused84]
[unused85]
[unused86]
[unused87]
[unused88]
[unused89]
[unused90]
[unused91]
[unused92]
[unused93]
[unused94]
[unused95]
[unused96]
[unused97]
[unused98]
[unused99]
[BOS]
[EOS]
[MASK]
[UNK]
13565	9630
3867	9336
20984	8368
11519	7428
7232	5917
9893	5662
2932	5372
7916	5360
1913	5308
7419	5277
5810	5234
13107	5231
15549	5166
14560	5131
3681	5000
15607	4987
12473	4975
17033	4948
1348	4904
15924	4867
20770	4809
16304	4767
11122	4727
7750	4668
15930	4652
3873	4651
13584	4649
2024	4543
1773	4512
13739	4504
2994	4467
12775	4419
11465	4398
2021	4396
4258	4381
2476	4368
19248	4345
9021	4327
18341	4322
4723	4308
13284	4303
2065	4285
4954	4281
731	4281
15356	4247
16215	4239
10400	4234
5808	4217
11795	4205
10977	4171
8977	4168
1896	4166
7166	4163
10166	4160
7917	4159
3936	4127
12220	4110
11822	4110
1543	4109
17254	4101
8248	4080
2914	4076
16032	4061
11824	4059
7267	4057
19495	4056
10158	4012
5194	4010
3286	3998
19390	3991
13681	3990
11500	3974
21036	3972
2023	3950
5542	3931
11744	3921
13669	3908
15778	3895
2811	3865
16983	3849
2070	3831
2213	3814
11732	3810
11550	3802
17169	3767
9027	3762
13999	3672
9104	3665
5837	3657
793	3645
18234	3635
17634	3624
10128	3567
4924	3552
3877	3509
5679	3493
1917	3437
19900	3427
17228	3398
12858	3373
9026	3365
19606	3339
17504	3292
20923	3281
13654	3066
798	3061
20236	3056
5906	3044
5916	3001
11008	2981
1925	2922
8898	2862
17638	2847
12087	2811
11327	2755
7601	2692
1424	2664
2730	2566
5303	2561
10156	2523
97	2498
21030	2488
13725	2486
11857	2465
8228	2445
3719	2413
8109	2385
4287	2362
5846	2358
20542	2326
5856	2326
1511	2306
3626	2299
20545	2266
9093	2216
19687	2207
1763	2202
9024	2194
5740	2184
19437	2149
6099	2060
12119	2037
11129	2037
2967	2027
5097	2006
12233	1991
7258	1959
15533	1881
6713	1879
7449	1876
17631	1868
1928	1853
18840	1851
281	1851
5301	1827
15560	1800
11792	1798
20490	1791
4357	1696
9160	1693
18472	1691
13790	1689
13237	1661
16252	1659
2482	1653
9871	1645
16702	1641
2068	1621
7038	1607
1227	1607
20859	1602
16271	1597
912	1588
5277	1587
20362	1577
20685	1573
20365	1570
